2018.02.25
2017-02-25 00:00:00
2018-02-25T10:00:00.000Z     2018-02-25T10:01:00.000Z
quert done
Reshape and sort done...
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Meta exe: 772065 72619 264959 22166 49937 74762 72 0 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Meta wait: 153769 649344 69210 60433 157019 92827 51007 22971 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Read exe: 0 5006468 14045586 156152 12831 3046 19 0 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Read wait: 3480552 13009061 1390110 597237 697575 28158 16637 4766 2018-02-25T10:00:12.543Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Write exe: 0 109682 11107819 511642 20769 9840 2566 0 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: Write wait: 1574702 6826968 3283115 35131 9675 13823 5883 4554 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:12]  [Trace]: queue length: 0 2018-02-25T10:00:12.544Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Meta exe: 772069 72620 264959 22168 49937 74762 72 0 2018-02-25T10:00:57.124Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Meta wait: 153769 649351 69210 60433 157019 92827 51007 22971 2018-02-25T10:00:57.123Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Read exe: 0 5006470 14045971 156152 12831 3046 19 0 2018-02-25T10:00:57.123Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Read wait: 3480552 13009448 1390110 597237 697575 28158 16637 4766 2018-02-25T10:00:57.123Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Write exe: 0 109682 11108314 511753 20769 9840 2566 0 2018-02-25T10:00:57.123Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: Write wait: 1574703 6827573 3283115 35131 9675 13823 5883 4554 2018-02-25T10:00:57.123Z
20.0.2.110 [2018-02-25 18:00:57]  [Trace]: queue length: 0 2018-02-25T10:00:57.124Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Meta exe: 724393 76424 251215 26026 37583 66627 75 0 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Meta wait: 161002 596856 61081 62026 152811 84775 41789 22003 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Read exe: 0 5203046 11553235 44370 18077 543 0 0 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Read wait: 4192726 10091041 1136351 698197 661030 20305 14769 4852 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Write exe: 0 131 5990086 29146 15938 9572 3513 0 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: Write wait: 859312 3165968 1973322 11940 6290 12902 6424 7975 2018-02-25T10:00:28.539Z
20.0.2.113 [2018-02-25 18:00:28]  [Trace]: queue length: 0 2018-02-25T10:00:28.539Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Meta exe: 704244 81439 239819 21073 28522 69940 81 0 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Meta wait: 152498 582673 60904 61422 146461 76962 42296 21902 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Read exe: 0 5800475 10025962 49674 6383 108 0 0 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Read wait: 3860931 9841052 856915 613567 672366 19340 13310 5121 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Write exe: 0 10867 17326802 24161 14576 8685 3189 0 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: Write wait: 2911327 9698858 4706062 29121 8247 14246 7606 5810 2018-02-25T10:00:21.935Z
20.0.2.125 [2018-02-25 18:00:21]  [Trace]: queue length: 0 2018-02-25T10:00:21.935Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Meta exe: 1278517 101555 390206 130007 101323 77761 81 0 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Meta wait: 268561 1074581 140771 100168 263201 156836 56166 19166 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Read exe: 0 8664878 16546649 95920 8048 1223 5 0 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Read wait: 6343460 15871282 1387702 814794 863393 14179 17333 4575 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Write exe: 0 12034 3162820 49727 32354 15614 3278 0 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: Write wait: 712950 2266619 196894 10310 23333 28095 12969 15780 2018-02-25T10:00:32.764Z
20.0.2.136 [2018-02-25 18:00:32]  [Trace]: queue length: 0 2018-02-25T10:00:32.764Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Meta exe: 710095 82850 230997 15280 40185 68405 152 0 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Meta wait: 143996 589369 65293 65480 122453 90307 54250 16816 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Read exe: 0 5987433 14056348 86280 7230 705 0 0 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Read wait: 3328714 13920474 1440448 647514 753785 26977 16167 3917 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Write exe: 0 107833 3911545 858182 14999 9324 3148 9 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: Write wait: 128930 3734770 1001419 5752 5739 9330 6253 4873 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:04]  [Trace]: queue length: 0 2018-02-25T10:00:04.210Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Meta exe: 710095 82850 230997 15280 40185 68405 152 0 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Meta wait: 143996 589369 65293 65480 122453 90307 54250 16816 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Read exe: 0 5987433 14057115 86280 7230 705 0 0 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Read wait: 3328719 13921234 1440450 647514 753785 26977 16167 3917 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Write exe: 0 107833 3911751 858209 14999 9324 3148 9 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: Write wait: 128930 3735003 1001419 5752 5739 9330 6253 4873 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:08]  [Trace]: queue length: 0 2018-02-25T10:00:08.116Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Meta exe: 710095 82850 230997 15280 40185 68405 152 0 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Meta wait: 143996 589369 65293 65480 122453 90307 54250 16816 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Read exe: 0 5987433 14057913 86280 7230 705 0 0 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Read wait: 3328723 13922023 1440455 647514 753785 26977 16167 3917 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Write exe: 0 107833 3911949 858213 14999 9324 3148 9 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: Write wait: 128930 3735204 1001420 5752 5739 9330 6253 4873 2018-02-25T10:00:12.023Z
20.0.2.26 [2018-02-25 18:00:12]  [Trace]: queue length: 0 2018-02-25T10:00:12.023Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Meta exe: 618622 81292 220802 8126 21744 47285 20 0 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Meta wait: 142135 519736 50185 62959 124033 38725 38413 21705 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Read exe: 0 6041475 13156974 83095 9766 534 36 0 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Read wait: 3467567 13193922 1427171 580356 587723 17832 12908 4401 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Write exe: 0 216863 4092713 690933 5537 1870 313 0 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: Write wait: 203544 3767045 993367 25306 3372 1622 2444 4147 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:36]  [Trace]: queue length: 0 2018-02-25T10:00:36.857Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Meta exe: 618622 81292 220802 8126 21744 47285 20 0 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Meta wait: 142135 519736 50185 62959 124033 38725 38413 21705 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Read exe: 0 6041486 13157456 83095 9766 534 36 0 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Read wait: 3467567 13194414 1427172 580356 587723 17832 12908 4401 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Write exe: 0 216863 4092831 691322 5537 1870 313 0 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: Write wait: 203544 3767552 993367 25306 3372 1622 2444 4147 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:41]  [Trace]: queue length: 0 2018-02-25T10:00:41.264Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Meta exe: 618622 81292 220802 8126 21744 47285 20 0 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Meta wait: 142135 519736 50185 62959 124033 38725 38413 21705 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Read exe: 0 6041486 13157650 83123 9766 534 36 0 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Read wait: 3467567 13194634 1427174 580356 587723 17832 12908 4401 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Write exe: 0 216863 4093570 691361 5537 1870 313 0 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: Write wait: 203558 3768220 993463 25306 3372 1622 2444 4147 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:53]  [Trace]: queue length: 0 2018-02-25T10:00:53.887Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Meta exe: 618622 81292 220802 8126 21744 47285 20 0 2018-02-25T10:00:57.494Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Meta wait: 142135 519736 50185 62959 124033 38725 38413 21705 2018-02-25T10:00:57.494Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Read exe: 0 6041486 13157713 83131 9766 534 36 0 2018-02-25T10:00:57.494Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Read wait: 3467568 13194704 1427174 580356 587723 17832 12908 4401 2018-02-25T10:00:57.493Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Write exe: 0 216863 4094505 691361 5537 1870 313 0 2018-02-25T10:00:57.494Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: Write wait: 203573 3768387 994215 25306 3372 1622 2444 4147 2018-02-25T10:00:57.494Z
20.0.2.29 [2018-02-25 18:00:57]  [Trace]: queue length: 0 2018-02-25T10:00:57.494Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Meta exe: 322208 31752 114564 19145 17628 11640 8 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Meta exe: 322208 31752 114564 19145 17628 11640 8 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Meta exe: 322208 31752 114564 19145 17628 11640 8 0 2018-02-25T10:00:02.276Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Meta exe: 322208 31752 114564 19145 17628 11640 8 0 2018-02-25T10:00:02.277Z
20.0.2.35 [2018-02-25 18:00:02]  [Trace]: Meta exe: 322208 31752 114564 19145 17628 11640 8 0 2018-02-25T10:00:02.377Z
